Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
26021,0.61,Ideal,G,VS1,61.5,56.0,5.48,5.5,3.38,2182
15277,1.2,Ideal,E,VVS1,61.8,56.0,6.78,6.87,4.22,16256
10942,0.46,Very Good,F,VS2,59.9,55.0,5.06,5.08,3.04,1258
21462,1.13,Premium,E,SI2,60.4,59.0,6.7,6.75,4.06,5220
19483,0.38,Ideal,H,SI1,61.5,56.0,4.67,4.69,2.88,680
18057,1.06,Very Good,H,VS1,61.9,58.0,6.57,6.49,4.04,5627
24333,0.79,Ideal,F,SI1,62.5,57.0,5.88,5.92,3.69,2976
6953,0.35,Premium,E,VS2,59.2,58.0,4.59,4.63,2.73,767
4076,1.51,Very Good,J,SI2,62.8,59.0,7.23,7.26,4.55,6773
5004,1.51,Very Good,E,VS2,63.2,56.0,7.28,7.22,4.58,13757
8111,0.32,Ideal,E,VS2,61.5,55.0,4.43,4.38,2.71,900
26941,0.32,Very Good,D,VVS1,61.6,54.0,4.4,4.43,2.72,1015
25544,0.72,Ideal,G,VS1,61.3,56.0,5.77,5.82,3.55,3102
9538,1.03,Ideal,G,VS1,61.4,55.0,6.5,6.53,4.0,7481
3656,0.77,Very Good,F,SI1,59.6,60.0,5.95,5.97,3.55,3044
9857,0.7,Very Good,E,VS2,62.4,60.0,5.57,5.61,3.49,2755
11054,0.4,Good,F,SI1,63.6,57.0,4.67,4.7,2.98,737
3229,0.9,Premium,D,VS2,63.0,62.0,6.13,6.06,3.84,4586
6456,0.54,Ideal,E,SI2,60.6,57.0,5.28,5.25,3.19,1340
25371,0.7,Very Good,F,VS2,61.4,57.0,5.73,5.76,3.53,2400
8432,1.0,Very Good,E,VVS2,61.7,55.0,6.38,6.42,3.95,9324
25961,0.4,Premium,G,VS1,60.0,57.0,4.83,4.74,2.87,1035
12272,1.0,Very Good,E,SI1,63.7,55.0,6.35,6.4,4.06,5413
9047,0.31,Ideal,F,IF,62.1,55.0,4.34,4.35,2.7,979
24754,0.77,Very Good,D,SI1,58.6,59.0,6.0,6.04,3.53,3160
1386,0.8,Ideal,G,VS2,61.2,57.0,6.02,6.07,3.7,2969
4896,1.2,Ideal,H,VS2,61.2,59.0,6.84,6.89,4.2,7072
3530,1.51,Premium,F,VS2,62.0,60.0,7.23,7.35,4.52,14165
14149,0.46,Good,E,SI1,62.7,58.0,4.87,4.92,3.07,967
11043,0.72,Very Good,E,VS2,61.4,58.0,5.78,5.82,3.56,2667
18415,1.01,Premium,G,SI1,62.6,60.0,6.39,6.35,3.99,4338
16993,0.41,Ideal,D,VVS2,62.1,56.0,4.78,4.76,2.96,1356
